model_name,overall_accuracy,complex_accuracy,simple_accuracy,average_bleu_score,complex_bleu_score,simple_bleu_score,average_time,average_complex_time,average_simple_time,parameters,system_prompt_version,total_examples
overall_metrics_OpenAI_GPT4o,1.0,1.0,1.0,0.9587094758032838,0.9939292649552094,0.9391429262744361,2.9090812948166525,4.9453652878291905,1.777812409809687,"{""seed"": 7, ""top_p"": 0.8, ""temperature"": 0, ""top_k"": 50}",1.0,28
overall_metrics_StarCoder2_(7B)_fp,0.8214285714285714,0.6,0.9444444444444444,0.9160170408275609,0.8548624117483102,0.9499918347604778,89.0584223896897,244.77022186638789,2.551867124857381,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 16384, ""top_k"": 50, ""top_p"": 0.8, ""temperature"": 0}",1.0,28
overall_metrics_StarCoder2_(7B)_full_precision,0.7857142857142857,0.6,0.8888888888888888,0.9418914323816215,0.9443418656093335,0.9405300805884482,4.0588399724802,6.819249936053529,2.5252788816061287,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 8192, ""top_k"": 50, ""top_p"": 0.9, ""temperature"": 0}",1.0,28
overall_metrics_qwq_(32B)_quantized_4bit,0.7857142857142857,0.7,0.8333333333333334,0.927518311231612,0.9444719208003514,0.9180996392489789,5.7780113594573255,9.362471341527998,3.7866447027513965,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 8000, ""top_k"": 50, ""top_p"": 0.8, ""temperature"": 0}",1.0,28
overall_metrics_qwq_(32B)_quantized_8bit,0.7857142857142857,0.7,0.8333333333333334,0.9181430268788041,0.9450987974637005,0.903167598776084,7.722637118156334,13.800494444416836,4.346049714678277,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 8000, ""top_k"": 50, ""top_p"": 0.8, ""temperature"": 0.5}",1.0,28
overall_metrics_qwq_(32B)_full_precision,0.7857142857142857,0.7,0.8333333333333334,0.9148391909840242,0.953584349095923,0.8933141031440806,15.280172991416682,27.611980148078874,8.429169015493244,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 8000, ""top_k"": 50, ""top_p"": 0.8, ""temperature"": 0}",1.0,28
overall_metrics_Qwen_2.5_(32B)_full_precision,0.75,0.6,0.8333333333333334,0.9231134944884546,0.9494192360069065,0.9084991936448701,16.30505262569724,29.468903397768734,8.99180219676863,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 128000, ""top_k"": 50, ""top_p"": 0.9, ""temperature"": 0.5}",1.0,28
overall_metrics_Qwen_2.5_(72B)_quantized_8bit,0.75,0.6,0.8333333333333334,0.8976261737499068,0.9041644956489179,0.8939937726949005,46.11106127435674,30.58413246483542,54.73713283520192,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 128000, ""top_k"": 50, ""top_p"": 0.8, ""temperature"": 0}",1.0,28
overall_metrics_Qwen_2.5-coder_(32B)_full_precision,0.75,0.7,0.7777777777777778,0.8968842360546166,0.9549311840794473,0.8646359315963772,17.39242639949745,32.75114847533405,8.85980302403267,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 32768, ""top_k"": 50, ""top_p"": 0.9, ""temperature"": 0.5}",1.0,28
overall_metrics_Qwen_2.5_(72B)_quantized_4bit,0.75,0.6,0.8333333333333334,0.8918599489098181,0.9069621232711075,0.8834698520424349,11.724851309903897,20.88465801337734,6.6360698079742075,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 128000, ""top_k"": 50, ""top_p"": 0.9, ""temperature"": 0}",1.0,28
overall_metrics_OpenAI_GPT4o_mini,0.7142857142857143,0.4,0.8888888888888888,0.9746373270167993,0.9666588213375471,0.9790698301719392,2.3171461901261603,3.3470549569930883,1.7449746529778674,"{""seed"": 7, ""top_p"": 0.8, ""temperature"": 0, ""top_k"": 50}",1.0,28
overall_metrics_LLaMA_3.1_(70B)_quantized_8bit,0.6785714285714286,0.6,0.7222222222222222,0.8952826305034562,0.9777311111845464,0.8494779190139617,111.63475088904877,114.23818621169775,110.18839793202157,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 132000, ""top_k"": 50, ""top_p"": 0.9, ""temperature"": 0}",1.0,28
overall_metrics_LLaMA_3.1_(70B)_quantized_4bit,0.6785714285714286,0.6,0.7222222222222222,0.8791811286283625,0.9714727531381271,0.8279080039007154,9.97890741971787,17.188211506884546,5.973738482403052,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 132000, ""top_k"": 50, ""top_p"": 0.8, ""temperature"": 0.5}",1.0,28
overall_metrics_Deepseek_r1_(70B)_fp,0.6785714285714286,0.7,0.6666666666666666,0.6706356438221744,0.730489630374784,0.6373834290707249,144.26348377180486,171.49039773354306,129.13742045972808,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 16384, ""top_k"": 50, ""top_p"": 0.8, ""temperature"": 0.5}",1.0,28
overall_metrics_Falcon3_(10B)_fp,0.6428571428571429,0.4,0.7777777777777778,0.882099213294059,0.9235046312132544,0.8590962033389506,13.62142929347049,9.031764571904205,16.17124302767398,"{""seed"": 7, ""num_predict"": -1, ""num_ctx"": 8000, ""top_k"": 50, ""top_p"": 0.8, ""temperature"": 0}",1.0,28
